id_venda,data,cliente,produto,categoria,quantidade,preco_unitario,regiao,canal_venda,desconto
1,2024-01-26,Yasmin Santos,Monitor 24,Eletronicos,1,799.9,Sul,Loja Fisica,0.05
2,2024-08-16,Diego Barbosa,Luminaria LED,Casa,1,69.9,Norte,Marketplace,0.05
3,2025-11-23,Yasmin Almeida,Monitor 24,Eletronicos,1,799.9,Sul,Marketplace,0.0
4,2025-08-27,Larissa Silva,Teclado Mecanico,Eletronicos,1,249.9,Centro-Oeste,Loja Fisica,0.0
5,2024-04-05,Felipe Oliveira,Notebook Pro 14,Eletronicos,2,4200.0,Nordeste,Online,0.0
6,2025-09-08,Lucas Almeida,Webcam HD,Eletronicos,2,174.5,Nordeste,Loja Fisica,0.05
7,2025-10-27,William Almeida,Mesa Compacta,Moveis,2,662.9,Nordeste,Online,0.2
8,2024-08-13,Marcos Ferreira,Curso SQL Basico,Cursos,2,129.9,Centro-Oeste,Online,0.1
9,2024-01-07,Eduarda Barbosa,Garrafa Termica,Casa,3,59.9,Norte,Marketplace,0.0
10,2024-12-14,Henrique Costa,Curso SQL Basico,Cursos,-1,132.5,Sudeste,Loja Fisica,0.0
11,2024-12-10,Carla Souza,Mesa Compacta,Moveis,2,649.9,Sul,Marketplace,0.05
12,2024-04-09,Julia Lima,Livro Python Pratico,Livros,1,79.9,Nordeste,Online,0.0
13,2024-09-27,Ana Barbosa,Caneca Termica,Livros,5,84.9,Sudeste,Online,0.05
14,2025-07-03,Carla Pereira,Smartphone X,Eletronicos,2,2899.9,Norte,WhatsApp,0.1
15,2025-07-19,Isabela Gomes,Teclado Mecanico,Eletrônicos,1,249.9,Sul,Loja Fisica,0.1
16,2025-01-05,Rafael Oliveira,Caneca Termica,Casa,2,84.9,Nordeste,Marketplace,0.05
17,2024-02-16,Vanessa Oliveira,Teclado Mecanico,Eletronicos,1,249.9,Centro-Oeste,Online,0.1
18,2024-03-22,Gabriela Souza,Mochila Executiva,Acessorios,3,159.9,Sudeste,Online,0.1
19,2024-10-11,Marcos Gomes,Livro Python Pratico,Livros,1,79.9,Sudeste,Loja Fisica,0.05
20,2024-06-15,Julia Lima,Tenis Runner,Moda,1,299.9,Nordeste,Online,0.05
21,2025-11-17,Henrique Barbosa,Mesa Compacta,Moveis,1,649.9,Sul,Online,0.0
22,2025-09-15,Thiago Costa,Teclado Mecanico,Eletronicos,1,249.9,Norte,Online,0.0
23,2024-09-07,Eduarda Rodrigues,SSD 1TB,Eletronicos,2,459.9,Sudeste,Marketplace,0.1
24,2024-10-03,Thiago Barbosa,Livro Python Pratico,Livros,3,79.9,Sudeste,Marketplace,0.15
25,2024-08-12,Vanessa Lima,SSD 1TB,Eletronicos,1,459.9,Nordeste,Online,0.1
26,2024-08-22,Ana Lima,Mouse Sem Fio,Eletronicos,3,89.9,Sudeste,Online,0.0
27,2024-10-01,Bruno Oliveira,Livro Python Pratico,Livros,4,79.9,Centro-Oeste,Loja Fisica,0.1
28,2024-11-18,desconhecido,Planner 2025,Papelaria,8,39.9,Centro-Oeste,Loja Fisica,0.0
29,2025-02-09,Thiago Rodrigues,Tablet Lite,Eletronicos,1,1499.9,Sudeste,Loja Fisica,0.0
30,2024-09-28,Diego Oliveira,Headset Gamer,Eletronicos,3,203.9,Nordeste,Online,0.05
31,2025-07-05,Henrique Barbosa,SSD 1TB,Eletronicos,1,459.9,Sudeste,Marketplace,0.0
32,2025-03-14,Rafael Pereira,Planner 2025,Papelaria,4,39.9,Sudeste,Loja Fisica,0.0
33,2024-08-12,Diego Almeida,Tenis Runner,Moda,1,299.9,Nordeste,Online,0.05
34,2024-04-03,Ana Souza,Tablet Lite,Eletronicos,1,14999.0,Sudeste,Online,0.05
35,2025-10-04,Eduarda Gomes,Headset Gamer,Eletronicos,2,199.9,Sudeste,WhatsApp,0.0
36,2025-09-02,Bruno Pereira,Curso SQL Basico,Cursos,1,129.9,Sul,Marketplace,0.0
37,2025-09-02,Marcos Almeida,Livro Python Pratico,Livros,2,79.9,Sudeste,Loja Fisica,0.0
38,2025-07-20,Lucas Gomes,Garrafa Termica,Casa,6,59.9,Sudeste,Online,0.0
39,2025-11-29,PAULA SANTOS,Monitor 24,Eletronicos,3,799.9,Sul,Marketplace,0.05
40,2024-04-24,Isabela Pereira,Camiseta Dry Fit,Moda,5,49.9,Sudeste,Online,0.0
41,2025-04-09,Lucas Barbosa,Cadeira Office,Moveis,1,899.9,Nordeste,Loja Fisica,0.3
42,2025-05-27,Eduarda Almeida,Garrafa Termica,Casa,4,59.9,Nordeste,Online,0.1
43,2025-10-02,Isabela Gomes,Monitor 24,Eletronicos,3,799.9,Sudeste,Loja Fisica,0.0
44,2025-09-15,Felipe Costa,Webcam HD,Eletronicos,1,179.9,Nordeste,WhatsApp,0.0
